Date,Open,High,Low,Close,Volume
2022-10-27,117.28,118.42,116.68,117.72,9558418
2022-10-28,119.21,119.78,118.87,119.44,8690740
2022-10-31,118.42,119.76,117.23,118.31,15007373
2022-11-01,118.38,119.19,117.56,118.14,7527990
2022-11-02,118.69,119.64,116.57,118.39,6425648
2022-11-03,118.59,119.42,117.85,118.54,5883049
2022-11-04,115.26,117.72,114.53,116.35,15588757
2022-11-07,116.45,116.46,116.44,116.45,5860488
2022-11-08,118.54,119.91,117.86,119.0,14764266
2022-11-09,117.19,118.11,114.71,116.18,9818802
2022-11-10,117.45,118.3,117.04,117.8,10685243
2022-11-11,117.87,118.9,117.25,118.09,6888371
2022-11-14,116.68,118.08,116.13,116.87,9208693
2022-11-15,120.52,120.92,120.27,120.65,18335763
2022-11-16,122.51,123.45,121.31,122.15,11069358
2022-11-17,119.19,122.76,117.17,119.9,8992194
2022-11-18,119.04,121.91,118.19,120.11,6985904
2022-11-21,121.12,121.54,120.59,121.17,8662061
2022-11-22,121.05,121.48,120.28,120.85,6298814
2022-11-23,122.03,123.29,121.58,122.2,10465455
2022-11-24,121.64,123.13,120.4,122.11,5736188
2022-11-25,122.99,124.07,122.65,123.47,9444924
2022-11-28,125.89,126.67,125.68,126.26,13969311
2022-11-29,125.28,126.93,124.07,124.96,7430087
2022-11-30,125.42,127.28,124.31,125.41,6908232
2022-12-01,124.6,125.06,123.37,124.54,8923875
2022-12-02,124.77,125.42,124.6,124.86,6662996
2022-12-05,122.61,122.78,122.37,122.51,11137381
2022-12-06,121.57,121.89,121.0,121.44,9237704
2022-12-07,121.08,121.23,120.95,121.11,7524634
2022-12-08,123.06,124.52,121.59,122.87,9632068
2022-12-09,124.85,125.8,124.34,125.18,15395693
2022-12-12,122.04,123.84,121.06,122.56,10896675
2022-12-13,120.29,123.84,119.22,121.07,13425210
2022-12-14,123.21,124.18,120.41,122.36,7582404
2022-12-15,118.39,119.04,118.21,118.62,17086614
2022-12-16,117.02,118.72,116.35,117.82,7227978
2022-12-19,117.8,118.66,116.31,117.61,8362211
2022-12-20,120.19,120.82,119.63,119.99,11835487
2022-12-21,121.39,122.0,120.78,121.35,8802411
2022-12-22,120.75,122.0,120.0,120.76,6730034
2022-12-23,120.08,120.35,119.97,120.14,7566688
2022-12-26,120.15,121.48,117.32,119.63,6574734
2022-12-27,122.49,122.78,122.38,122.57,10209543
2022-12-28,121.81,122.34,121.49,121.79,7936854
2022-12-29,121.39,122.0,120.27,121.25,7165073
2022-12-30,121.75,122.9,121.06,121.99,7136638
2023-01-02,122.4,122.8,121.04,121.72,5646746
2023-01-03,121.08,122.7,120.37,121.38,6670011
2023-01-04,119.19,120.0,118.34,119.32,15233751
2023-01-05,119.21,120.26,118.06,119.33,6923461
2023-01-06,118.54,118.62,118.47,118.57,8750389
2023-01-09,120.79,121.47,119.46,120.73,9438522
2023-01-10,121.7,122.88,121.35,122.02,8052590
2023-01-11,122.0,123.31,120.54,122.02,5616227
2023-01-12,124.06,124.74,122.65,123.34,10243690
2023-01-13,122.55,123.29,122.33,122.76,7993288
2023-01-16,124.56,125.24,123.81,124.77,9455082
2023-01-17,124.67,126.22,123.32,124.8,9147760
2023-01-18,126.22,127.63,125.11,126.0,7011312
2023-01-19,123.51,124.19,122.77,123.5,14014621
2023-01-20,124.53,126.6,121.73,124.25,11542513
2023-01-23,121.27,122.91,118.57,120.95,12665404
2023-01-24,117.27,117.36,117.01,117.17,13500947
2023-01-25,117.12,117.91,115.98,116.66,6172284
2023-01-26,116.37,117.2,113.04,115.05,8492658
2023-01-27,115.8,116.59,114.63,115.42,5755193
2023-01-30,119.39,120.42,118.81,119.53,21396464
2023-01-31,117.6,119.05,117.01,118.01,8477008
2023-02-01,116.54,117.51,116.22,116.9,9818213
2023-02-02,117.29,118.25,116.75,117.32,8968873
2023-02-03,117.76,118.87,117.35,118.3,9866734
2023-02-06,118.48,119.59,116.73,117.94,10408613
2023-02-07,117.62,118.3,116.54,117.59,7561302
2023-02-08,119.01,119.71,118.09,118.94,10843562
2023-02-09,119.94,120.51,119.51,119.96,9528635
2023-02-10,118.17,119.24,117.19,118.09,11533905
2023-02-13,117.74,118.57,117.28,117.91,6455461
2023-02-14,118.42,118.78,117.3,118.01,6512199
2023-02-15,115.58,118.03,114.93,116.11,17724981
2023-02-16,116.1,117.66,115.09,116.62,7595801
2023-02-17,115.64,116.84,114.22,115.12,8422270
2023-02-20,116.62,118.41,115.82,116.86,8849813
2023-02-21,117.72,118.4,116.03,117.25,8296741
2023-02-22,117.64,118.65,116.67,117.46,8438934
2023-02-23,116.35,117.27,115.68,116.41,8845127
2023-02-24,115.26,117.88,114.44,116.26,8502744
2023-02-27,112.53,112.92,112.3,112.63,19807325
2023-02-28,111.35,112.87,109.46,110.67,13674269
2023-03-01,110.99,112.54,110.08,111.35,7672418
2023-03-02,107.44,108.1,107.25,107.71,17003616
2023-03-03,109.25,109.76,108.63,109.22,8239701
2023-03-06,105.98,106.85,105.44,106.22,18285518
2023-03-07,108.13,108.72,106.7,107.53,9945931
2023-03-08,106.08,106.55,105.33,106.15,11474769
2023-03-09,108.08,109.47,105.68,107.49,8540603
2023-03-10,107.94,108.25,107.06,107.78,8430781
2023-03-13,105.26,105.34,105.07,105.17,12434272
2023-03-14,107.3,107.98,106.85,107.29,9338050
2023-03-15,109.79,109.8,109.79,109.79,11180182
2023-03-16,109.25,110.51,108.56,109.71,9786154
2023-03-17,108.87,110.22,108.23,109.31,8040514
2023-03-20,108.64,109.78,108.09,109.0,6572956
2023-03-21,107.29,107.7,107.13,107.37,10370605
2023-03-22,109.27,109.99,108.89,109.28,12631868
2023-03-23,108.1,110.71,106.78,108.39,9138806
2023-03-24,108.51,109.3,107.3,108.36,6496897
2023-03-27,106.77,108.22,105.99,106.98,8582688
2023-03-28,105.57,107.09,105.12,105.97,7225551
2023-03-29,104.33,106.57,102.47,103.9,9606931
2023-03-30,105.97,108.0,105.02,106.0,17187196
2023-03-31,105.93,106.48,105.05,105.81,8923331
2023-04-03,107.34,108.79,106.62,107.4,10770523
2023-04-04,107.44,108.84,105.83,107.45,6716298
2023-04-05,106.16,107.05,105.77,106.33,13277662
2023-04-06,105.93,106.35,105.52,105.81,6856771
2023-04-07,105.33,105.88,103.91,104.94,11294122
2023-04-10,104.7,105.39,104.27,104.93,9112125
2023-04-11,104.21,105.09,103.27,104.34,7722535
2023-04-12,103.89,105.09,102.86,103.89,6597714
2023-04-13,101.03,104.18,100.03,101.69,9760723
2023-04-14,100.18,100.81,100.02,100.46,10554101
2023-04-17,103.59,104.08,102.41,103.08,15008911
2023-04-18,101.69,102.66,101.03,102.03,8400247
2023-04-19,100.34,101.14,99.09,100.39,11837514
2023-04-20,100.67,101.91,99.67,100.95,7430771
2023-04-21,103.51,103.97,102.42,103.27,10440980
2023-04-24,100.65,101.31,100.34,100.91,11787350
2023-04-25,100.57,100.72,100.43,100.6,9362353
2023-04-26,99.63,99.94,99.29,99.65,12111276
2023-04-27,97.28,97.83,96.15,96.95,22665800
2023-04-28,97.86,99.18,97.49,98.14,9790181
2023-05-01,97.85,98.31,97.52,98.07,6621072
2023-05-02,98.1,98.87,97.37,98.21,8918488
2023-05-03,97.09,97.99,95.98,97.09,9568335
2023-05-04,97.06,98.45,96.5,97.82,10620544
2023-05-05,96.95,97.52,96.33,97.05,9342687
2023-05-08,97.13,97.76,96.13,96.8,6141121
2023-05-09,95.19,95.26,95.06,95.15,13030201
2023-05-10,93.37,93.82,93.15,93.39,11056502
2023-05-11,95.0,96.44,93.76,95.4,9765580
2023-05-12,94.7,94.79,94.65,94.7,7240124
2023-05-15,94.85,95.74,94.17,95.1,9915677
2023-05-16,94.66,95.72,93.91,95.08,6286102
2023-05-17,94.84,95.09,94.0,94.46,10619220
2023-05-18,93.41,94.37,93.16,93.73,8678852
2023-05-19,95.28,95.75,93.74,94.72,11294974
2023-05-22,94.03,94.96,93.77,94.25,6856223
2023-05-23,93.56,94.52,93.25,94.05,6796958
2023-05-24,94.11,94.18,94.07,94.12,8820286
2023-05-25,95.78,96.96,95.09,95.91,14692924
2023-05-26,97.16,97.47,96.38,97.0,7579424
2023-05-29,97.67,98.01,96.85,97.55,7333921
2023-05-30,97.27,97.66,96.04,96.72,9662079
2023-05-31,94.59,95.9,93.58,94.68,9700306
2023-06-01,95.4,97.28,94.9,96.13,9334026
2023-06-02,97.82,98.2,97.3,97.66,9415447
2023-06-05,97.9,98.35,96.6,97.42,5779566
2023-06-06,97.72,99.36,97.13,98.28,13870264
2023-06-07,99.81,100.34,98.59,99.54,12747159
2023-06-08,100.22,102.01,99.77,100.88,11879778
2023-06-09,102.79,103.52,101.5,102.41,16695809
2023-06-12,101.33,102.1,100.56,101.65,9554051
2023-06-13,104.93,105.61,102.94,104.13,13840788
2023-06-14,102.31,102.49,101.84,102.15,11336540
2023-06-15,102.87,104.46,102.4,103.58,11251162
2023-06-16,104.42,105.14,103.71,104.45,7685575
2023-06-19,105.51,106.41,105.04,105.86,11308143
2023-06-20,109.1,109.21,109.01,109.07,23192165
2023-06-21,111.32,112.31,111.01,111.7,12503882
2023-06-22,109.81,110.83,109.09,109.73,16987938
2023-06-23,106.97,108.2,105.97,106.92,15281236
2023-06-26,107.56,110.18,106.9,108.27,10072534
2023-06-27,106.65,107.71,105.66,106.58,11955992
2023-06-28,106.98,107.46,105.61,106.6,6542230
2023-06-29,107.87,108.67,107.62,108.05,10383250
2023-06-30,105.67,106.21,103.89,105.36,17990171
2023-07-03,101.97,102.92,101.05,101.88,18259108
2023-07-04,101.76,103.59,100.88,102.33,9251853
2023-07-05,103.78,104.6,100.86,102.44,9098275
2023-07-06,102.13,102.76,101.54,102.07,7757610
2023-07-07,102.27,102.5,102.07,102.2,7713551
2023-07-10,100.62,101.11,100.25,100.79,13325825
2023-07-11,98.56,98.67,98.23,98.44,10258482
2023-07-12,98.06,98.45,97.91,98.23,6973414
2023-07-13,96.31,97.75,95.62,96.76,13202185
2023-07-14,94.34,95.43,93.71,94.35,12785392
2023-07-17,94.96,95.19,94.88,95.07,6604072
2023-07-18,95.43,95.96,94.17,95.01,5693878
2023-07-19,95.24,96.62,93.9,95.65,8543396
2023-07-20,94.47,95.05,93.73,94.2,11375682
2023-07-21,93.34,93.62,92.56,93.29,9944570
2023-07-24,91.65,92.35,90.96,91.8,11050355
2023-07-25,90.48,91.69,89.77,90.56,8490835
2023-07-26,90.88,92.04,89.63,90.87,11384920
2023-07-27,89.85,91.19,88.5,89.78,13898973
2023-07-28,90.27,92.07,89.16,90.34,7456946
2023-07-31,90.03,91.52,89.26,90.8,6334574
2023-08-01,93.4,95.28,92.07,93.77,18299385
2023-08-02,92.29,93.01,91.01,91.77,12976057
2023-08-03,92.98,93.31,92.84,93.09,9464564
2023-08-04,93.62,93.88,92.58,93.02,5310684
2023-08-07,92.82,93.54,92.45,92.97,6873224
2023-08-08,90.65,91.29,90.29,90.89,10558460
2023-08-09,89.98,91.64,89.36,90.27,11343932
2023-08-10,91.33,92.05,90.78,91.36,9370852
2023-08-11,91.2,91.63,90.89,91.3,10244453
2023-08-14,91.35,92.15,90.1,91.39,11140903
2023-08-15,91.41,92.04,89.62,91.0,10294675
2023-08-16,92.13,93.26,91.53,92.7,14110130
2023-08-17,93.33,94.08,91.71,92.7,5788176
2023-08-18,89.4,90.59,88.65,89.59,17761722
2023-08-21,88.54,89.7,87.61,88.6,11878202
2023-08-22,85.86,86.02,85.79,85.92,16848506
2023-08-23,81.88,82.11,81.24,81.66,22184849
2023-08-24,80.79,81.35,80.38,81.0,9601008
2023-08-25,82.97,83.21,82.57,82.77,11350239
2023-08-28,82.24,83.61,81.87,82.81,6429016
2023-08-29,81.34,82.16,80.01,81.32,13702468
2023-08-30,80.09,80.87,79.69,80.15,12358721
2023-08-31,81.66,81.96,81.38,81.62,10489470
2023-09-01,82.02,83.06,80.44,81.87,8587756
2023-09-04,81.81,82.6,81.47,81.91,8556974
2023-09-05,81.82,82.1,81.52,81.86,9582419
2023-09-06,82.44,83.0,81.11,81.94,9032093
2023-09-07,82.73,83.71,82.31,83.01,9023265
2023-09-08,83.8,84.43,83.21,83.79,8432428
2023-09-11,83.5,84.66,82.97,84.05,5811932
2023-09-12,82.63,83.33,82.34,82.7,12277586
2023-09-13,83.38,83.71,83.05,83.4,7957925
2023-09-14,82.47,83.24,81.79,82.53,11010807
2023-09-15,84.1,85.11,82.67,84.02,10047064
2023-09-18,82.42,82.62,81.93,82.33,18413922
2023-09-19,82.27,82.79,81.4,82.17,5758803
2023-09-20,81.82,82.63,81.27,82.2,7989737
2023-09-21,80.71,82.49,78.99,80.52,10512634
2023-09-22,82.76,83.13,82.21,82.79,14661917
2023-09-25,85.3,85.89,83.9,84.69,11897768
2023-09-26,84.21,84.68,83.47,84.09,8733627
2023-09-27,85.17,85.67,84.67,85.16,8056445
2023-09-28,85.13,87.04,84.39,85.69,8843017
2023-09-29,82.72,83.29,81.24,82.28,14584183
2023-10-02,82.51,83.86,81.72,82.58,5937168
2023-10-03,82.66,83.48,82.0,82.53,8366352
2023-10-04,83.0,83.29,82.22,82.67,9683252
2023-10-05,81.21,81.7,80.98,81.3,10085657
2023-10-06,81.2,81.55,80.16,81.01,7886188
2023-10-09,80.35,81.61,79.71,80.75,7674189
2023-10-10,81.78,83.15,81.32,82.3,9625931
2023-10-11,82.73,83.27,82.17,82.77,10390115
2023-10-12,83.47,84.24,81.85,82.79,5884519
2023-10-13,84.97,86.25,83.96,84.86,10209346
2023-10-16,84.3,84.8,83.1,84.09,9415111
2023-10-17,83.59,83.73,83.48,83.6,8889112
2023-10-18,81.41,81.62,80.94,81.28,12183519
2023-10-19,83.26,83.54,83.17,83.33,10254821
2023-10-20,84.04,85.58,83.13,84.66,8577816
2023-10-23,85.65,86.45,85.35,85.86,14426240
2023-10-24,87.56,88.43,85.99,86.8,7740117
2023-10-25,87.01,88.27,85.83,86.98,10006098
2023-10-26,87.57,89.05,85.42,87.31,9301170
2023-10-27,86.64,88.14,85.85,87.01,5823575
2023-10-30,86.79,87.28,85.93,86.71,8222775
2023-10-31,87.28,87.55,86.25,86.81,5553396
2023-11-01,88.64,89.48,88.37,88.93,13916327
2023-11-02,89.49,90.64,88.75,89.74,7721007
2023-11-03,89.77,90.06,89.01,89.71,7363216
2023-11-06,89.01,89.3,88.32,88.87,8647197
2023-11-07,88.91,89.59,87.12,88.01,6992483
2023-11-08,90.26,90.39,90.2,90.3,13001869
2023-11-09,91.15,92.06,90.09,91.05,9405237
2023-11-10,91.05,91.72,90.83,91.2,13649176
2023-11-13,90.53,91.75,89.51,90.67,7109799
2023-11-14,89.16,90.3,87.8,89.13,16032622
2023-11-15,88.77,90.01,88.08,89.07,5559471
2023-11-16,90.25,91.53,89.19,90.33,11236859
2023-11-17,89.81,90.04,89.64,89.83,6436532
2023-11-20,88.66,91.04,87.86,89.48,9721205
2023-11-21,89.03,89.51,88.88,89.19,10451361
2023-11-22,89.56,90.17,88.34,89.38,5940930
2023-11-23,86.87,87.92,86.61,87.19,10349335
2023-11-24,87.0,87.09,86.66,86.92,10942473
2023-11-27,85.88,86.06,85.39,85.74,10264107
2023-11-28,87.61,88.03,85.98,86.96,7979103
2023-11-29,86.1,86.71,84.85,85.95,9217690
2023-11-30,86.13,87.36,85.82,86.76,9357776
2023-12-01,88.49,89.95,87.95,88.92,25854826
2023-12-04,88.34,88.62,88.16,88.45,7240308
2023-12-05,86.8,88.65,85.98,87.65,12989687
2023-12-06,87.39,89.92,86.61,87.95,8326162
2023-12-07,88.44,88.89,87.1,87.97,5978420
2023-12-08,87.0,87.27,86.18,86.65,9550592
2023-12-11,87.29,87.35,87.17,87.26,6642403
2023-12-12,89.57,90.97,88.81,90.1,17378419
2023-12-13,90.86,92.27,87.38,89.77,7286960
2023-12-14,90.01,90.79,88.27,89.51,6930117
2023-12-15,87.66,88.86,86.88,88.1,13732823
2023-12-18,88.06,89.63,87.47,88.52,8367534
2023-12-19,86.6,87.15,86.38,86.82,10574703
2023-12-20,85.28,86.78,84.09,85.35,11975350
2023-12-21,87.2,87.35,86.87,87.12,11291248
2023-12-22,85.41,86.38,85.09,85.93,9040195
2023-12-25,87.21,87.88,86.64,87.38,8426828
2023-12-26,89.05,90.43,88.07,89.53,10920649
2023-12-27,90.51,91.13,88.79,89.94,11905136
2023-12-28,90.3,91.96,89.61,90.75,8902158
2023-12-29,93.72,94.2,93.01,93.64,13899100
2024-01-01,93.21,93.66,92.93,93.32,7744174
2024-01-02,92.36,93.07,91.34,92.48,10053824
2024-01-03,90.71,90.99,90.07,90.57,10052457
2024-01-04,90.82,91.0,90.42,90.65,5614168
2024-01-05,93.03,93.25,92.5,92.84,12074319
2024-01-08,93.92,94.8,93.39,94.23,10220431
2024-01-09,92.85,92.94,92.8,92.87,11975595
2024-01-10,91.65,92.01,91.51,91.66,11919108
2024-01-11,90.98,91.16,90.88,90.96,7155506
2024-01-12,91.03,92.13,90.62,91.44,6612605
2024-01-15,91.43,92.16,89.96,91.11,12416741
2024-01-16,90.18,92.84,89.4,91.45,8898374
2024-01-17,91.85,92.1,91.74,91.91,6680419
2024-01-18,91.67,92.0,90.99,91.51,8499930
2024-01-19,91.72,92.41,90.37,91.5,5383736
2024-01-22,91.99,92.18,91.33,91.77,7422635
2024-01-23,91.81,92.47,91.31,91.68,5655268
2024-01-24,91.69,94.13,90.98,92.45,9176053
2024-01-25,95.62,96.1,94.57,95.24,17974322
2024-01-26,96.0,96.43,95.74,96.19,7756303
2024-01-29,96.32,96.46,96.04,96.24,5619548
2024-01-30,93.01,94.74,92.55,93.75,10535159
2024-01-31,94.07,95.62,93.63,94.36,7572198
2024-02-01,91.56,91.77,91.29,91.54,11181467
2024-02-02,89.58,89.87,89.13,89.58,14592452
2024-02-05,91.02,91.81,90.1,90.77,10471093
2024-02-06,91.87,93.19,90.44,91.81,13482696
2024-02-07,91.69,92.32,90.9,91.63,9990276
2024-02-08,88.59,90.54,87.84,89.22,16915426
2024-02-09,88.55,89.64,88.2,88.75,8967882
2024-02-12,87.76,87.85,87.69,87.78,12669651
2024-02-13,88.79,89.52,87.97,88.69,9591577
2024-02-14,91.54,93.1,90.7,91.94,12513267
2024-02-15,92.22,93.0,91.87,92.28,11042274
2024-02-16,91.21,91.26,91.17,91.21,11267623
2024-02-19,89.3,90.04,88.7,89.52,12428136
2024-02-20,89.23,90.27,88.64,89.46,5837757
2024-02-21,90.38,91.02,88.41,89.25,5894749
2024-02-22,87.74,87.77,87.63,87.67,12321324
2024-02-23,86.75,89.39,85.97,87.89,6643928
2024-02-26,86.32,86.7,85.95,86.28,10700675
2024-02-27,87.3,88.81,86.51,87.83,13035977
2024-02-28,88.9,90.51,87.81,89.35,13583489
2024-02-29,90.66,92.12,90.26,90.91,14320381
2024-03-01,89.61,90.91,89.17,90.29,7984809
2024-03-04,90.72,91.25,90.57,91.0,7605742
2024-03-05,90.06,91.64,89.46,90.84,8522675
2024-03-06,90.3,90.7,89.72,90.32,9581244
2024-03-07,89.78,90.06,89.68,89.86,6275947
2024-03-08,88.58,89.27,86.69,88.09,9908679
2024-03-11,86.49,87.3,84.76,86.09,17545405
2024-03-12,86.73,88.2,85.89,87.2,9594807
2024-03-13,87.05,87.35,86.57,86.97,6956767
2024-03-14,88.05,88.72,85.8,87.29,9202521
2024-03-15,87.85,89.65,87.18,88.73,12094620
2024-03-18,86.26,87.5,84.81,86.32,18871460
2024-03-19,85.23,86.03,84.5,85.28,12292089
2024-03-20,85.49,85.85,85.26,85.55,10194914
2024-03-21,85.93,86.99,85.3,86.11,10544962
2024-03-22,85.62,85.74,85.58,85.65,7213752
2024-03-25,87.03,87.09,86.93,87.02,13053713
2024-03-26,86.94,88.32,86.3,87.33,6444511
2024-03-27,85.63,86.09,85.24,85.71,10715913
2024-03-28,84.87,85.24,83.72,84.49,10077977
2024-03-29,85.53,86.1,85.14,85.62,17335272
2024-04-01,86.23,87.61,85.35,86.22,13447221
2024-04-02,84.36,85.07,82.13,83.71,17619509
2024-04-03,85.59,86.42,84.57,85.54,14050074
2024-04-04,86.74,87.84,85.43,86.37,7478007
2024-04-05,88.05,88.61,87.77,88.27,17335601
2024-04-08,88.02,88.5,87.35,87.71,7815339
2024-04-09,87.26,88.46,86.36,87.33,7950691
2024-04-10,85.84,86.14,85.51,85.83,9510459
2024-04-11,89.4,90.19,88.78,89.35,15205996
2024-04-12,88.98,89.39,88.84,89.16,6622984
2024-04-15,91.89,92.49,90.29,91.39,15949368
2024-04-16,91.25,92.32,89.54,90.49,7512096
2024-04-17,91.1,91.36,90.2,90.76,7086010
2024-04-18,88.25,89.17,87.69,88.43,10451681
2024-04-19,87.91,88.36,87.65,87.95,7247713
2024-04-22,89.16,89.52,89.01,89.29,11717989
2024-04-23,87.54,87.92,87.3,87.57,10022425
2024-04-24,88.74,90.83,87.37,89.1,9725102
2024-04-25,88.57,90.77,87.59,89.6,6866522
2024-04-26,88.25,89.31,87.66,88.19,11967082
2024-04-29,87.5,88.02,87.18,87.47,8261647
2024-04-30,86.89,87.46,85.46,86.87,9165991
2024-05-01,86.88,87.66,86.2,86.83,9077288
2024-05-02,86.48,87.12,85.02,86.13,8481039
2024-05-03,84.66,85.72,84.35,85.06,9695196
2024-05-06,84.07,85.12,83.59,84.63,8453756
2024-05-07,83.95,84.43,82.34,83.3,11659174
2024-05-08,81.35,82.08,81.13,81.66,14423883
2024-05-09,81.43,82.17,81.19,81.62,7201227
2024-05-10,82.79,82.88,82.69,82.81,10731051
2024-05-13,80.78,81.39,80.42,80.81,15497066
2024-05-14,80.81,81.02,80.71,80.84,5104543
2024-05-15,80.2,80.84,79.38,80.05,8569737
2024-05-16,78.88,79.25,78.41,78.85,14673065
2024-05-17,79.83,80.81,79.39,79.97,13510705
2024-05-20,79.3,79.93,78.61,79.29,12817355
2024-05-21,81.19,81.33,81.07,81.21,11028271
2024-05-22,80.5,80.78,79.81,80.25,7417180
2024-05-23,80.55,81.26,80.32,80.76,6692215
2024-05-24,80.46,81.57,79.89,80.52,7705706
2024-05-27,79.87,81.23,78.27,79.55,15145181
2024-05-28,79.78,81.44,79.32,80.31,8092434
2024-05-29,80.47,80.75,79.78,80.15,6881830
2024-05-30,81.53,82.03,79.73,80.93,13079563
2024-05-31,80.9,81.07,80.79,80.92,5642461
2024-06-03,80.01,80.68,78.66,79.53,12100319
2024-06-04,79.13,79.76,78.79,79.42,5948112
2024-06-05,79.67,79.76,79.35,79.52,8336922
2024-06-06,80.35,82.34,79.39,80.75,8199899
2024-06-07,78.75,80.37,78.34,79.65,13595080
2024-06-10,79.43,79.87,79.28,79.58,6048866
2024-06-11,77.53,78.05,77.06,77.47,15843303
2024-06-12,77.85,78.96,77.53,78.3,9401188
2024-06-13,77.57,77.87,76.48,77.0,14749257
2024-06-14,74.93,75.07,74.74,74.89,19751885
2024-06-17,74.8,75.27,74.24,74.8,5948186
2024-06-18,76.16,77.0,75.03,76.13,12255006
2024-06-19,74.09,74.9,73.41,74.36,19223379
2024-06-20,73.51,73.99,72.21,73.11,8599154
2024-06-21,72.53,73.12,71.54,72.31,8077751
2024-06-24,70.92,72.8,69.32,71.01,13398223
2024-06-25,71.38,71.74,71.17,71.46,9340991
2024-06-26,70.02,70.97,69.64,70.58,8916739
2024-06-27,69.81,69.84,69.79,69.8,9360464
2024-06-28,70.46,70.78,70.24,70.49,9350616
2024-07-01,69.33,70.7,68.88,69.63,9529443
2024-07-02,70.37,70.53,69.9,70.13,12426066
2024-07-03,69.05,69.89,68.59,69.09,10944562
2024-07-04,67.83,68.55,67.05,67.81,9355291
2024-07-05,65.83,66.12,65.73,65.91,12749476
2024-07-08,67.79,68.3,67.22,67.85,13053355
2024-07-09,67.69,68.02,67.23,67.53,11151554
2024-07-10,67.62,68.15,67.45,67.82,10337401
2024-07-11,68.41,68.73,67.22,67.81,9639664
2024-07-12,67.44,68.62,66.94,68.02,8851723
2024-07-15,68.05,68.53,67.79,68.05,6762575
2024-07-16,70.26,70.55,69.72,70.15,16080419
2024-07-17,68.96,69.65,68.49,69.04,13144482
2024-07-18,67.73,68.15,66.64,67.38,13392720
2024-07-19,66.0,67.3,65.33,66.36,15347672
2024-07-22,64.94,66.51,63.94,64.96,17849925
2024-07-23,65.72,66.21,64.95,65.74,11349392
2024-07-24,66.78,66.99,66.24,66.63,9419349
2024-07-25,65.95,66.24,65.18,65.64,8842675
2024-07-26,64.3,64.69,64.08,64.26,11192249
2024-07-29,63.89,64.21,63.54,63.88,7408019
2024-07-30,65.32,65.69,65.02,65.32,12346455
2024-07-31,62.53,62.77,62.17,62.5,18714142
2024-08-01,63.07,63.6,62.8,63.04,10839866
2024-08-02,62.39,62.97,61.04,62.02,10306340
2024-08-05,63.21,63.5,62.74,63.03,11803611
2024-08-06,61.84,62.42,61.58,61.98,13746857
2024-08-07,61.75,61.97,61.61,61.73,6239283
2024-08-08,60.09,61.02,59.47,60.3,12372803
2024-08-09,59.82,60.13,58.84,59.41,9610705
2024-08-12,60.72,61.83,59.71,60.71,19770783
2024-08-13,61.68,62.26,60.9,61.51,9734479
2024-08-14,61.52,61.86,60.45,61.15,10352036
2024-08-15,60.14,60.59,59.78,60.34,11838991
2024-08-16,58.85,59.09,58.06,58.6,19256514
2024-08-19,58.16,59.7,57.23,58.22,12176674
2024-08-20,58.09,58.35,58.02,58.21,5813687
2024-08-21,57.82,58.65,57.53,58.15,6288794
2024-08-22,58.1,58.79,57.01,58.08,5516070
2024-08-23,57.14,57.69,56.73,57.1,13520616
2024-08-26,57.35,57.73,56.46,57.02,7611357
2024-08-27,57.19,58.04,56.27,57.01,8771065
2024-08-28,58.36,58.62,57.94,58.2,11266090
2024-08-29,59.84,60.81,59.17,59.95,15248755
